ID,Age,Height,Weight,Position,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,ShortPassing,LongPassing,BallControl,Vision,Reactions,Composure,Crossing,Dribbling,Stamina,Agility,Acceleration,CAMRating,CMRating,RMRating,LMRating,CDMRating,Prospect,Position_n
TRAIN_0054,21,188,74,LM,5.7971,4.0789,5.5882,5.0,5.0,5.4098,6.6265,6.7857,6.4045,6.5476,4.8438,5.4217,6.0227,6.087,7.6543,6.4474,6.3855,6.0,6.1644,6.2162,6.2162,6.1429,0,3
TRAIN_0055,19,173,66,LM,6.9565,4.6053,4.7059,5.9091,3.6842,5.082,5.9036,5.5952,6.2921,5.7143,3.2812,5.1807,5.4545,7.0652,6.4198,8.1579,7.7108,6.0,5.6164,6.0811,6.0811,5.1429,1,3
TRAIN_0059,17,171,60,CAM,6.3768,4.4737,3.9706,4.697,2.6316,2.2951,5.4217,5.2381,5.8427,5.3571,2.3438,4.8193,4.0909,5.5435,4.6914,8.1579,7.1084,5.3333,4.7945,5.1351,5.1351,3.8571,1,0
TRAIN_0063,18,175,68,CAM,5.7971,5.5263,5.5882,6.3636,4.6053,3.1148,6.8675,6.4286,7.0787,6.7857,3.75,6.0241,5.4545,7.6087,6.5432,7.2368,6.506,6.8,6.5753,6.6216,6.6216,5.7143,1,0
TRAIN_0066,21,175,74,CAM,6.2319,5.2632,5.7353,6.9697,2.8947,3.4426,7.1084,6.6667,7.5281,6.9048,5.9375,6.0241,5.4545,7.6087,6.6667,8.9474,7.3494,7.0667,6.7123,6.8919,6.8919,5.2857,0,0
TRAIN_0067,20,177,72,CDM,6.2319,4.0789,4.4118,5.4545,5.3947,5.9016,6.3855,5.7143,6.7416,5.5952,4.8438,4.4578,3.75,6.3043,6.6667,7.5,7.1084,6.0,6.0274,5.8108,5.8108,6.2857,1,1
TRAIN_0069,20,176,76,CAM,4.3478,4.2105,4.7059,5.0,4.4737,3.9344,6.2651,5.9524,6.5169,5.5952,5.0,6.1446,4.7727,5.9783,4.0741,5.6579,5.9036,5.6,5.4795,5.4054,5.4054,5.4286,1,0
TRAIN_0070,18,178,72,CAM,5.7971,4.0789,3.8235,4.697,2.5,3.9344,5.9036,5.119,6.0674,4.881,2.5,4.8193,3.9773,6.087,5.0617,5.5263,6.747,5.3333,4.7945,5.1351,5.1351,4.0,1,0
TRAIN_0073,21,173,65,LM,8.6957,5.2632,4.5588,5.4545,1.3158,2.2951,5.7831,5.119,6.4045,5.5952,3.5938,5.4217,5.7955,6.3043,6.2963,8.4211,8.3133,6.1333,5.2055,6.2162,6.2162,3.4286,0,3
TRAIN_0076,20,185,85,CM,5.7971,4.7368,4.2647,4.3939,4.7368,6.3934,6.0241,5.8333,6.0674,6.0714,4.2188,4.9398,4.2045,5.8696,6.6667,4.7368,6.3855,5.7333,5.8904,5.6757,5.6757,5.7143,0,2
TRAIN_0078,21,177,73,CDM,4.3478,3.8158,3.6765,3.9394,4.8684,4.2623,6.0241,5.3571,5.5056,4.881,3.75,3.7349,3.6364,5.3261,5.8025,5.3947,5.7831,5.0667,5.2055,5.0,5.0,5.4286,0,1
TRAIN_0080,19,175,65,CDM,5.0725,3.5526,4.8529,4.5455,5.5263,4.2623,6.6265,6.9048,6.2921,5.0,3.9062,3.7349,5.0,5.8696,6.0494,5.0,5.6627,5.4667,5.7534,5.5405,5.5405,6.0,0,1
TRAIN_0082,21,174,70,LM,7.1014,4.4737,6.0294,5.7576,5.7895,3.7705,7.1084,6.4286,7.191,5.9524,5.625,4.3373,7.2727,6.7391,7.284,7.5,7.7108,6.5333,6.5753,6.8919,6.8919,6.4286,0,3
TRAIN_0083,21,179,78,CDM,4.6377,3.2895,4.1176,4.697,5.1316,6.0656,5.7831,5.5952,5.9551,5.0,4.2188,5.1807,3.9773,5.8696,5.8025,6.3158,5.3012,5.3333,5.4795,5.1351,5.1351,5.7143,0,1
TRAIN_0084,17,183,77,CDM,5.0725,1.4474,3.8235,4.0909,4.7368,3.9344,6.2651,5.8333,6.1798,4.7619,2.8125,4.4578,3.6364,5.2174,5.1852,5.2632,6.1446,4.8,5.0685,4.7297,4.7297,5.4286,1,1
TRAIN_0085,19,186,65,LM,6.087,4.8684,5.4412,5.6061,5.3947,5.082,6.506,5.7143,6.4045,6.1905,5.0,6.2651,6.7045,6.7391,6.7901,7.5,6.3855,6.2667,6.1644,6.4865,6.4865,6.0,1,3
TRAIN_0087,20,180,78,CM,5.942,4.3421,4.8529,5.1515,5.1316,6.0656,6.3855,6.1905,6.5169,5.4762,4.375,4.5783,5.1136,6.3043,6.5432,6.3158,6.1446,5.8667,6.0274,5.9459,5.9459,6.0,1,2
TRAIN_0091,20,176,70,CAM,8.4058,5.6579,4.5588,5.1515,1.3158,5.9016,6.3855,4.2857,6.4045,6.9048,3.4375,5.7831,4.0909,6.1957,7.284,7.6316,8.6747,6.4,5.4795,6.2162,6.2162,3.8571,0,0
TRAIN_0095,21,183,67,RM,5.7971,5.9211,5.1471,5.0,1.8421,4.2623,6.0241,5.4762,6.1798,6.1905,2.1875,5.0602,6.25,6.6304,7.1605,5.7895,6.506,6.0,5.4795,6.0811,6.0811,4.0,0,4
TRAIN_0097,18,180,70,CAM,5.5072,3.5526,4.1176,3.9394,3.8158,5.082,6.0241,5.5952,5.8427,5.4762,2.3438,2.8916,3.75,5.3261,6.1728,6.3158,6.1446,5.2,5.2055,5.1351,5.1351,5.0,1,0
TRAIN_0098,20,183,73,CAM,3.7681,4.2105,4.5588,4.8485,2.2368,3.9344,6.1446,5.7143,6.2921,6.0714,4.8438,4.3373,4.3182,6.5217,5.4321,4.2105,4.6988,5.7333,5.6164,5.5405,5.5405,4.4286,1,0
TRAIN_0102,21,175,76,RM,7.971,4.0789,5.1471,6.3636,5.7895,6.7213,6.1446,5.5952,7.191,5.4762,4.0625,6.3855,6.9318,7.2826,7.9012,7.7632,8.1928,6.2667,6.1644,6.7568,6.7568,6.4286,0,4
TRAIN_0107,19,185,74,LM,7.1014,3.9474,4.1176,4.8485,2.5,5.082,5.6627,4.7619,6.1798,4.6429,3.2812,3.9759,5.5682,6.413,4.6914,5.6579,7.3494,5.4667,4.7945,5.6757,5.6757,4.1429,0,3
TRAIN_0108,21,175,68,CAM,5.2174,4.7368,5.2941,6.3636,5.5263,5.2459,7.3494,6.7857,6.9663,6.1905,5.0,6.8675,4.2045,7.3913,7.037,6.9737,6.0241,6.6667,6.7123,6.3514,6.3514,6.5714,0,0
TRAIN_0110,21,185,75,RM,5.2174,4.7368,5.7353,5.4545,5.7895,4.7541,6.747,6.6667,6.7416,6.3095,4.6875,6.3855,6.5909,6.6304,5.9259,5.7895,6.2651,6.2667,6.3014,6.3514,6.3514,6.4286,0,4
TRAIN_0114,21,173,69,RM,6.6667,5.2632,5.2941,6.3636,2.3684,2.623,6.6265,6.0714,6.8539,5.8333,4.2188,4.9398,6.5909,7.6087,4.321,8.0263,7.3494,6.5333,5.7534,6.6216,6.6216,4.4286,0,4
TRAIN_0116,21,185,74,CAM,5.5072,5.0,4.8529,5.1515,5.3947,5.7377,6.2651,5.7143,6.6292,6.0714,4.6875,5.3012,5.0,6.1957,6.6667,5.7895,6.506,6.1333,6.1644,5.9459,5.9459,6.1429,0,0
TRAIN_0121,20,178,69,CDM,3.913,2.5,3.2353,3.1818,4.0789,3.4426,5.4217,5.119,5.5056,4.1667,2.1875,3.494,3.4091,4.4565,4.5679,4.6053,5.0602,4.2667,4.3836,4.0541,4.0541,4.5714,1,1
TRAIN_0122,21,183,69,CM,5.942,4.8684,5.2941,5.6061,5.9211,4.4262,6.8675,6.6667,6.7416,6.1905,5.3125,5.4217,5.4545,6.7391,6.6667,6.1842,6.988,6.4,6.5753,6.4865,6.4865,6.5714,0,2
TRAIN_0123,21,175,62,RM,7.6812,3.5526,3.8235,5.6061,2.6316,1.6393,5.0602,4.881,6.1798,5.119,2.1875,4.4578,5.5682,6.6304,4.4444,9.4737,7.9518,5.4667,4.7945,5.5405,5.5405,3.8571,1,4
TRAIN_0125,19,175,71,CM,5.6522,3.6842,4.1176,3.9394,4.8684,4.0984,5.6627,5.7143,5.0562,4.5238,3.4375,3.494,5.2273,5.6522,5.0617,5.9211,6.506,4.8,4.7945,5.0,5.0,5.1429,1,2
TRAIN_0127,21,173,69,CAM,6.6667,5.6579,4.2647,5.7576,1.8421,2.459,5.9036,4.7619,6.8539,5.0,3.125,4.5783,5.7955,6.7391,6.7901,8.1579,7.3494,6.0,5.2055,5.9459,5.9459,3.7143,0,0
TRAIN_0128,19,178,69,CAM,4.7826,5.0,5.7353,5.303,2.8947,2.9508,6.988,6.6667,6.6292,6.1905,4.2188,5.3012,6.0227,6.5217,5.0617,5.9211,5.6627,6.2667,5.8904,6.0811,6.0811,4.7143,1,0
TRAIN_0130,19,177,83,RM,6.087,5.2632,4.2647,5.4545,1.9737,4.0984,5.6627,5.119,6.7416,5.0,3.75,4.9398,5.5682,6.6304,4.6914,6.4474,6.988,5.7333,5.0685,5.8108,5.8108,4.0,0,4
TRAIN_0135,20,178,69,CDM,4.9275,4.0789,4.8529,4.697,5.9211,5.7377,6.506,5.9524,6.5169,5.5952,4.0625,5.7831,5.5682,5.8696,6.6667,4.7368,5.5422,5.7333,6.0274,5.8108,5.8108,6.2857,0,1
TRAIN_0136,19,176,66,LM,5.6522,5.3947,5.0,5.0,3.8158,4.4262,6.747,5.8333,5.618,5.0,3.125,5.0602,5.5682,6.7391,5.679,6.1842,6.3855,5.8667,5.4795,5.8108,5.8108,5.0,0,3
TRAIN_0137,18,178,66,CAM,5.6522,4.0789,4.1176,4.3939,5.0,3.4426,6.0241,5.4762,5.9551,5.119,3.125,5.4217,4.3182,5.3261,5.679,7.5,6.3855,5.3333,5.3425,5.2703,5.2703,5.4286,1,0
TRAIN_0139,20,166,60,CM,4.2029,3.4211,3.9706,4.0909,4.3421,5.082,5.9036,5.4762,5.8427,5.4762,2.9688,3.8554,4.0909,5.3261,7.1605,5.6579,4.2169,5.0667,5.3425,5.0,5.0,5.2857,1,2
TRAIN_0141,19,167,63,CAM,7.971,6.8421,6.6176,8.0303,5.0,5.082,7.2289,7.0238,8.0899,7.2619,6.4062,8.1928,7.2727,8.587,7.284,9.6053,8.7952,7.8667,7.5342,7.8378,7.8378,6.5714,0,0
TRAIN_0142,19,169,62,CAM,3.3333,3.5526,3.2353,3.7879,2.5,2.623,4.2169,5.0,4.8315,5.3571,0.3125,4.8193,3.6364,5.4348,6.7901,6.5789,4.3373,4.4,4.2466,4.1892,4.1892,3.4286,1,0
TRAIN_0144,18,180,74,CAM,5.7971,5.6579,4.7059,5.6061,4.7368,3.6066,6.3855,5.9524,7.0787,5.5952,4.5312,4.6988,4.8864,6.6304,5.3086,6.1842,6.6265,6.2667,6.0274,6.0811,6.0811,5.5714,1,0
TRAIN_0147,19,175,70,RM,7.971,4.6053,3.0882,4.2424,1.0526,4.7541,4.6988,3.8095,4.9438,4.0476,0.9375,4.0964,5.2273,6.1957,5.3086,6.1842,8.0723,4.9333,3.9726,5.2703,5.2703,2.7143,0,4
TRAIN_0148,20,173,63,RM,7.3913,4.6053,3.2353,4.5455,1.1842,2.7869,4.5783,4.4048,6.0674,3.6905,2.5,4.0964,5.5682,5.5435,5.4321,7.1053,7.7108,5.0667,4.2466,5.2703,5.2703,3.0,0,4
TRAIN_0152,21,175,75,RM,7.2464,6.0526,5.0,5.6061,3.0263,5.2459,6.2651,5.4762,6.5169,5.0,4.6875,5.7831,6.3636,6.6304,8.2716,8.1579,8.0723,6.2667,5.7534,6.4865,6.4865,4.8571,0,4
TRAIN_0155,18,178,72,CAM,6.087,3.5526,3.2353,5.1515,1.9737,3.7705,4.8193,4.2857,6.0674,5.3571,4.8438,4.6988,3.8636,6.3043,4.4444,7.2368,6.988,5.4667,4.6575,5.2703,5.2703,3.8571,1,0
TRAIN_0159,18,175,70,CAM,6.5217,5.3947,5.1471,6.0606,3.2895,4.2623,6.3855,5.8333,6.6292,6.4286,5.3125,6.2651,5.5682,6.7391,5.5556,8.6842,6.988,6.5333,6.0274,6.3514,6.3514,5.1429,1,0
TRAIN_0160,20,169,60,RM,8.4058,4.8684,3.8235,5.7576,0.9211,1.8033,5.5422,4.4048,6.0674,4.7619,2.9688,4.6988,5.1136,7.0652,4.1975,8.9474,8.7952,5.8667,4.6575,5.9459,5.9459,3.0,0,4
TRAIN_0168,20,185,74,CAM,5.0725,5.0,5.1471,4.697,3.4211,2.7869,6.506,6.1905,5.9551,6.4286,3.75,5.9036,5.5682,6.1957,3.7037,5.6579,6.1446,6.0,5.6164,5.6757,5.6757,4.5714,0,0
TRAIN_0171,18,179,70,CAM,6.5217,3.9474,4.2647,5.0,2.6316,2.459,5.6627,5.4762,6.2921,5.0,1.7188,5.0602,5.1136,6.413,5.3086,7.5,7.2289,5.4667,4.9315,5.4054,5.4054,4.0,1,0
TRAIN_0172,18,179,75,CAM,6.3768,5.5263,3.6765,5.7576,1.7105,4.0984,5.4217,3.6905,6.6292,4.7619,3.4375,4.3373,5.0,7.1739,4.5679,6.8421,6.8675,5.8667,4.9315,5.8108,5.8108,3.5714,1,0
TRAIN_0176,19,180,70,CAM,5.942,5.7895,5.7353,5.4545,3.9474,3.4426,7.3494,7.0238,6.2921,6.0714,3.75,5.7831,5.6818,6.8478,4.1975,6.9737,6.747,6.5333,6.1644,6.2162,6.2162,5.2857,1,0
TRAIN_0179,20,175,63,CAM,6.6667,5.6579,5.7353,6.3636,3.9474,4.0984,6.747,6.5476,6.9663,6.7857,5.3125,6.2651,6.1364,7.5,5.4321,7.6316,6.988,6.8,6.4384,6.7568,6.7568,5.4286,1,0
TRAIN_0180,18,180,75,LM,6.6667,4.4737,2.5,4.8485,1.0526,3.6066,3.9759,2.7381,5.3933,4.5238,4.0625,4.0964,3.9773,6.6304,5.1852,6.8421,7.1084,5.2,4.1096,5.2703,5.2703,2.7143,0,3
TRAIN_0182,20,179,70,CM,4.9275,3.6842,4.4118,4.697,4.7368,4.4262,6.3855,6.0714,6.5169,5.5952,4.0625,4.5783,3.2955,5.8696,5.3086,5.2632,5.5422,5.6,5.7534,5.2703,5.2703,5.5714,1,2
TRAIN_0183,19,174,70,CAM,4.6377,5.2632,4.1176,5.9091,1.8421,1.9672,5.4217,4.881,6.6292,5.4762,3.2812,4.5783,5.2273,7.2826,3.0864,7.8947,6.2651,5.8667,5.0685,5.6757,5.6757,3.5714,1,0
TRAIN_0184,19,177,66,RM,5.5072,3.4211,2.6471,3.7879,1.3158,2.459,4.3373,4.5238,5.5056,3.9286,1.7188,3.8554,4.0909,5.2174,4.0741,6.3158,6.0241,4.4,3.8356,4.4595,4.4595,2.8571,1,4
TRAIN_0187,18,176,66,CAM,6.8116,5.6579,5.1471,6.5152,2.6316,2.7869,6.506,5.5952,7.3034,6.6667,5.1562,6.1446,5.2273,7.0652,5.8025,8.4211,7.8313,6.8,6.1644,6.6216,6.6216,4.7143,1,0
TRAIN_0189,17,173,62,CAM,6.6667,3.4211,3.5294,4.3939,3.2895,1.9672,5.1807,4.881,5.2809,5.0,2.5,4.3373,3.8636,5.5435,4.9383,8.5526,7.4699,4.9333,4.6575,4.8649,4.8649,4.1429,1,0
TRAIN_0191,20,177,71,CDM,5.5072,3.2895,4.7059,5.0,6.3158,5.4098,6.6265,6.9048,6.5169,4.7619,4.2188,4.8193,4.8864,6.087,6.1728,5.7895,6.0241,5.4667,5.8904,5.5405,5.5405,6.5714,0,1
TRAIN_0193,19,181,72,CAM,5.7971,3.4211,3.8235,4.0909,4.4737,4.4262,5.7831,5.0,5.8427,5.2381,4.0625,3.253,3.8636,5.4348,5.0617,6.1842,6.6265,5.2,5.0685,5.1351,5.1351,5.1429,0,0
TRAIN_0194,19,185,73,CAM,5.5072,4.6053,5.2941,5.1515,4.4737,4.918,6.8675,6.4286,6.7416,6.4286,4.375,5.6627,5.2273,6.413,6.2963,5.5263,6.506,6.2667,6.1644,6.2162,6.2162,5.8571,1,0
TRAIN_0196,20,179,71,CAM,7.1014,6.1842,4.7059,6.3636,1.4474,3.2787,6.0241,5.3571,7.3034,6.1905,5.1562,6.2651,5.1136,7.0652,5.9259,8.2895,7.7108,6.6667,5.7534,6.6216,6.6216,4.0,0,0
TRAIN_0198,19,191,78,CM,4.2029,3.4211,4.7059,5.0,4.7368,5.7377,6.6265,6.3095,6.2921,6.1905,3.5938,4.4578,4.4318,6.1957,4.4444,6.4474,5.5422,5.6,5.7534,5.4054,5.4054,5.7143,1,2
TRAIN_0199,21,175,65,CM,5.0725,5.1316,6.4706,6.9697,5.9211,5.4098,7.7108,7.619,7.7528,7.381,6.4062,6.747,6.3636,7.6087,6.6667,7.6316,6.2651,7.2,7.3973,7.027,7.027,7.1429,0,2
TRAIN_0200,17,173,67,CAM,6.5217,4.2105,4.2647,6.6667,2.5,2.9508,6.0241,4.6429,7.5281,6.1905,3.5938,5.5422,3.9773,7.6087,5.1852,8.4211,7.4699,6.2667,5.6164,5.9459,5.9459,4.2857,1,0
TRAIN_0202,20,170,67,CAM,7.971,5.6579,5.1471,6.0606,3.1579,3.9344,6.1446,4.881,6.8539,6.3095,4.375,5.9036,6.1364,6.7391,6.1728,8.9474,8.6747,6.5333,5.8904,6.4865,6.4865,4.8571,0,0
TRAIN_0203,21,188,85,CDM,6.087,3.9474,5.0,5.1515,6.3158,7.7049,6.506,6.3095,6.5169,5.5952,4.0625,5.0602,5.7955,6.1957,8.2716,6.7105,6.8675,5.7333,6.0274,5.9459,5.9459,6.7143,0,1
TRAIN_0204,21,180,70,CDM,5.2174,5.1316,5.2941,5.4545,6.4474,5.2459,6.8675,6.5476,6.6292,6.3095,5.4688,5.6627,4.8864,6.1957,5.679,7.6316,6.3855,6.2667,6.3014,5.9459,5.9459,6.7143,0,1
TRAIN_0209,21,182,70,RM,6.6667,5.2632,5.5882,5.6061,5.6579,6.5574,6.747,6.6667,6.6292,6.3095,4.6875,5.7831,6.3636,6.7391,7.5309,6.7105,7.4699,6.4,6.5753,6.6216,6.6216,6.5714,0,4
TRAIN_0211,19,192,76,RM,6.8116,4.3421,5.7353,6.0606,5.7895,6.0656,7.1084,6.6667,7.191,5.8333,5.9375,6.0241,7.1591,7.1739,8.0247,6.4474,6.747,6.5333,6.7123,6.8919,6.8919,6.5714,0,4
TRAIN_0214,19,183,75,RM,6.8116,3.0263,3.8235,4.5455,4.0789,3.9344,5.3012,4.4048,5.9551,5.0,3.9062,3.9759,5.6818,5.8696,6.1728,6.5789,7.2289,5.3333,5.0685,5.5405,5.5405,4.8571,1,4
TRAIN_0215,20,175,67,RM,8.4058,4.8684,2.7941,5.1515,1.4474,2.1311,4.0964,3.4524,5.618,3.9286,0.9375,3.494,4.8864,6.7391,4.4444,9.3421,8.5542,5.0667,3.8356,5.2703,5.2703,2.7143,0,4
TRAIN_0216,20,178,68,CDM,5.5072,2.2368,5.1471,4.8485,6.5789,5.4098,6.8675,6.6667,6.6292,5.3571,5.625,6.2651,5.2273,5.3261,6.4198,6.8421,6.506,5.4667,6.0274,5.4054,5.4054,6.8571,0,1
TRAIN_0217,17,173,68,CAM,7.2464,3.4211,3.0882,4.5455,4.2105,3.6066,5.1807,5.0,5.9551,4.4048,3.4375,4.4578,2.9545,5.5435,6.2963,8.4211,7.5904,5.0667,4.9315,5.0,5.0,4.8571,1,0
TRAIN_0218,19,179,73,RM,5.6522,4.8684,5.1471,5.4545,4.2105,4.4262,6.3855,6.0714,6.7416,6.0714,4.375,5.0602,6.25,6.8478,6.2963,5.5263,6.506,6.1333,6.1644,6.3514,6.3514,5.5714,0,4
TRAIN_0221,20,171,60,CAM,4.7826,3.9474,5.2941,6.2121,5.0,2.1311,6.747,6.4286,7.191,6.0714,4.6875,5.5422,5.3409,7.1739,2.8395,7.5,5.7831,6.2667,6.1644,5.9459,5.9459,5.7143,1,0
TRAIN_0230,21,179,71,RM,6.5217,5.0,5.2941,6.2121,2.1053,4.5902,6.6265,5.8333,6.9663,5.8333,4.8438,4.6988,6.3636,7.1739,6.9136,8.4211,7.2289,6.4,5.8904,6.4865,6.4865,4.5714,0,4
TRAIN_0234,19,172,65,CAM,5.5072,3.9474,4.2647,4.697,4.3421,4.4262,5.7831,5.4762,5.9551,5.3571,4.375,5.3012,4.8864,5.6522,5.1852,7.3684,6.6265,5.4667,5.3425,5.4054,5.4054,5.2857,1,0
TRAIN_0235,19,180,74,CAM,5.2174,5.2632,3.8235,5.4545,5.2632,6.0656,5.4217,5.0,6.7416,5.2381,3.9062,6.0241,4.7727,6.5217,6.2963,6.1842,5.9036,5.7333,5.7534,5.6757,5.6757,5.8571,0,0
TRAIN_0236,21,163,60,CAM,5.5072,3.9474,3.8235,4.697,1.3158,1.1475,5.4217,4.1667,5.618,5.119,2.8125,5.1807,4.8864,5.8696,3.7037,8.0263,6.747,5.2,4.3836,5.1351,5.1351,3.1429,0,0
TRAIN_0237,20,183,76,RM,6.5217,5.0,4.1176,5.1515,3.2895,5.9016,5.7831,4.881,6.0674,5.0,4.8438,4.8193,5.2273,6.413,6.2963,6.8421,7.2289,5.7333,5.3425,5.9459,5.9459,4.8571,0,4
